,note length,pitch
1275,0.0,-2.0
1276,0.8,-3.0
1277,-0.6,2.0
1278,-0.4,-5.0
1279,-1.0,8.0
1280,0.8,-5.0
1281,-0.4,7.0
1282,-1.0,-4.0
1283,1.8,-20.0
1284,-2.4,19.0
1285,0.8,-3.0
1286,0.0,-1.0
1287,0.2,4.0
1288,0.0,-1.0
1289,0.0,5.0
1290,0.0,-1.0
1291,0.0,-4.0
1292,0.0,-5.0
1293,0.0,-1.0
1294,0.0,2.0
1295,0.4,2.0
1296,-1.0,5.0
1297,0.4,0.0
1298,0.0,-2.0
1299,0.0,4.0
1300,0.0,2.0
1301,0.0,-1.0
1302,0.4,-4.0
1303,-1.6,-1.0
1304,0.8,-2.0
1305,0.0,5.0
1306,0.0,-3.0
1307,0.0,-2.0
1308,0.0,-5.0
1309,0.4,7.0
1310,-1.0,-5.0
1311,0.8,-2.0
1312,-0.2,-7.0
1313,-1.4,3.0
1314,0.8,3.0
1315,0.0,-8.0
1316,0.0,4.0
1317,0.0,5.0
1318,1.8,-14.0
1319,-3.0,14.0
1320,0.8,-10.0
1321,0.0,6.0
1322,0.0,4.0
1323,-1.0,1.0
1324,0.0,-1.0
1325,0.8,-8.0
1326,0.0,4.0
1327,0.0,5.0
1328,0.0,3.0
1329,0.0,-3.0
1330,0.0,-5.0
1331,0.0,14.0
1332,0.0,-6.0
1333,0.0,-3.0
1334,0.4,-4.0
1335,-0.6,2.0
1336,-1.0,2.0
1337,0.8,-10.0
1338,0.0,13.0
1339,0.0,2.0
1340,0.8,3.0
1341,-1.0,-2.0
1342,0.0,4.0
1343,0.0,2.0
1344,0.0,-9.0
1345,0.0,5.0
1346,0.0,4.0
1347,0.0,4.0
1348,0.8,4.0
1349,0.0,-30.0
1350,2.6,30.0
1351,-3.2,4.0
1352,1.6,-6.0
1353,-1.0,4.0
1354,0.8,-4.0
1355,1.0,4.0
1356,-1.8,-4.0
1357,-0.8,2.0
1358,0.4,-2.0
1359,0.4,4.0
1360,-2.0,-7.0
1361,0.2,-3.0
1362,0.0,-2.0
1363,-0.6,-4.0
1364,2.8,16.0
1365,-2.0,-4.0
1366,0.4,-3.0
1367,1.4,7.0
1368,-2.4,-4.0
1369,-1.4,2.0
1370,0.4,2.0
1371,0.6,-7.0
1372,0.8,-3.0
1373,-1.8,-2.0
1374,-1.0,5.0
1375,1.4,-1.0
1376,-0.6,-2.0
1377,0.4,-2.0
1378,0.0,-2.0
1379,-0.6,4.0
1380,0.0,-2.0
1381,0.0,-4.0
1382,0.0,-3.0
1383,0.0,-4.0
1384,0.0,7.0
1385,0.0,-3.0
1386,3.0,18.0
1387,-1.6,-2.0
1388,-0.6,-1.0
1389,-1.0,-1.0
1390,0.0,-1.0
1391,0.0,-3.0
1392,0.0,2.0
1393,0.0,-6.0
1394,0.0,5.0
1395,0.4,-3.0
1396,-0.4,-4.0
1397,-0.4,-3.0
1398,2.0,7.0
1399,-2.2,-7.0
1400,0.0,5.0
1401,0.0,-2.0
1402,0.0,-3.0
1403,0.0,-5.0
1404,0.4,14.0
1405,-1.6,-12.0
1406,0.8,-2.0
1407,-1.0,-5.0
1408,1.4,-2.0
1409,-0.6,6.0
1410,0.0,-4.0
1411,0.6,-7.0
1412,-0.4,7.0
1413,-0.6,-7.0
1414,2.2,-2.0
1415,-1.4,2.0
1416,-1.0,5.0
1417,0.4,-5.0
1418,-1.0,19.0
1419,0.4,-7.0
1420,0.0,5.0
1421,1.4,-18.0
1422,-1.6,5.0
1423,0.0,3.0
1424,0.0,4.0
1425,0.0,-8.0
1426,0.4,2.0
1427,-0.6,2.0
1428,0.0,5.0
1429,0.4,-9.0
1430,-0.6,10.0
1431,0.0,4.0
1432,0.0,-5.0
1433,0.0,-4.0
1434,0.0,9.0
1435,0.8,6.0
1436,-1.0,-8.0
1437,0.0,8.0
1438,0.0,-3.0
1439,0.4,-4.0
1440,-1.0,-1.0
1441,0.4,-5.0
1442,0.0,-2.0
1443,0.4,2.0
1444,-1.6,1.0
1445,0.8,2.0
1446,0.0,2.0
1447,0.0,2.0
1448,0.0,1.0
1449,0.0,2.0
1450,-1.0,1.0
1451,0.0,2.0
1452,1.8,4.0
1453,-1.0,1.0
1454,0.0,-3.0
1455,0.0,-2.0
1456,0.0,-3.0
1457,0.0,-4.0
1458,0.0,-5.0
1459,0.0,8.0
1460,0.0,-3.0
1461,0.0,-3.0
1462,0.0,-6.0
1463,1.8,18.0
1464,-2.0,-6.0
1465,0.0,6.0
1466,0.0,0.0
1467,0.0,1.0
1468,0.0,1.0
1469,0.0,-2.0
1470,0.0,0.0
1471,0.0,1.0
1472,0.4,1.0
1473,-0.6,-2.0
1474,0.0,0.0
1475,0.0,1.0
1476,-1.0,1.0
1477,0.8,-2.0
1478,0.4,0.0
1479,-0.6,1.0
1480,-1.0,-19.0
1481,1.8,6.0
1482,-1.0,1.0
1483,0.0,-7.0
1484,0.8,6.0
1485,-0.6,1.0
1486,-1.0,-7.0
1487,1.4,6.0
1488,-1.0,1.0
1489,0.0,12.0
1490,0.0,-15.0
1491,0.0,-7.0
1492,0.0,22.0
1493,0.0,1.0
1494,0.0,-2.0
1495,0.0,1.0
1496,0.8,-1.0
1497,-1.0,1.0
1498,0.0,1.0
1499,1.4,-1.0
1500,-1.6,-18.0
1501,0.8,-1.0
1502,-1.0,6.0
1503,0.0,-12.0
1504,0.0,7.0
1505,0.0,-1.0
1506,0.0,5.0
1507,0.0,-10.0
1508,0.8,6.0
1509,-1.0,3.0
1510,0.0,-11.0
1511,0.0,7.0
1512,0.0,19.0
1513,0.0,1.0
1514,0.8,-2.0
1515,-1.0,1.0
1516,0.0,-18.0
1517,0.8,-1.0
1518,-1.0,4.0
1519,0.0,-10.0
1520,0.8,6.0
1521,-1.0,7.0
1522,0.0,1.0
1523,0.8,-2.0
1524,-1.0,13.0
1525,0.0,1.0
1526,0.8,-2.0
1527,-1.0,1.0
1528,0.0,-25.0
1529,0.8,6.0
1530,-0.6,4.0
1531,-1.6,-11.0
1532,0.8,7.0
1533,0.0,19.0
1534,0.0,1.0
1535,0.0,-2.0
1536,0.0,0.0
1537,0.0,1.0
1538,0.0,-25.0
1539,1.2,6.0
1540,-1.4,4.0
1541,-1.0,-10.0
1542,1.8,6.0
1543,-1.0,7.0
1544,0.0,-8.0
1545,0.8,7.0
1546,-1.0,13.0
1547,0.0,1.0
1548,0.8,-2.0
1549,-1.0,1.0
1550,0.0,-18.0
1551,0.8,-1.0
1552,-1.0,4.0
1553,0.0,-11.0
1554,0.0,7.0
1555,0.0,20.0
1556,0.4,1.0
1557,-0.6,-4.0
1558,0.4,2.0
1559,-0.4,-26.0
1560,0.0,5.0
1561,0.0,3.0
1562,-1.6,-9.0
1563,1.8,6.0
1564,-1.0,22.0
1565,0.0,0.0
1566,0.0,-3.0
1567,0.0,0.0
1568,0.8,3.0
1569,-0.6,-3.0
1570,-0.6,3.0
1571,0.0,-27.0
1572,0.8,5.0
1573,-0.6,3.0
1574,-1.6,-8.0
1575,0.8,5.0
1576,0.4,22.0
1577,-0.6,-3.0
1578,0.0,0.0
1579,0.4,3.0
1580,-0.6,-26.0
1581,0.8,4.0
1582,-0.6,3.0
1583,-1.6,-8.0
1584,1.8,5.0
1585,0.2,22.0
1586,-1.4,-3.0
1587,0.0,0.0
1588,0.0,3.0
1589,0.0,0.0
1590,0.8,-3.0
1591,-2.0,3.0
1592,0.8,-27.0
1593,0.8,5.0
1594,-0.6,3.0
1595,-1.6,-8.0
1596,0.8,5.0
1597,0.0,21.0
1598,0.4,1.0
1599,-0.6,-2.0
1600,0.4,0.0
1601,-0.6,-24.0
1602,0.8,3.0
1603,-1.0,4.0
1604,0.0,-8.0
1605,1.2,4.0
1606,-1.4,11.0
1607,0.0,11.0
1608,0.0,-13.0
1609,0.0,12.0
1610,0.0,1.0
1611,0.2,-21.0
1612,1.2,8.0
1613,-0.2,-9.0
1614,-1.0,3.0
1615,-1.0,-6.0
1616,1.4,3.0
1617,-2.0,21.0
1618,0.8,1.0
1619,0.0,1.0
1620,0.8,-2.0
1621,-1.0,1.0
1622,0.0,-25.0
1623,0.8,3.0
1624,-1.0,3.0
1625,0.0,-6.0
1626,0.8,3.0
1627,-1.0,21.0
1628,-1.0,-21.0
1629,1.4,9.0
1630,-0.6,12.0
1631,-1.0,0.0
1632,0.8,1.0
1633,1.4,-1.0
1634,-1.6,-24.0
1635,1.2,3.0
1636,-1.4,4.0
1637,-1.0,-7.0
1638,0.8,3.0
1639,0.0,22.0
1640,0.0,-3.0
1641,2.4,10.0
1642,-2.6,-2.0
1643,2.8,2.0
1644,-1.6,0.0
1645,0.2,0.0
1646,-1.4,0.0
1647,0.4,-10.0
1648,-1.0,-2.0
1649,1.6,7.0
1650,-2.4,-3.0
1651,0.0,-1.0
1652,0.4,-1.0
1653,0.0,-1.0
1654,0.0,-1.0
1655,0.0,4.0
1656,0.8,-4.0
1657,-1.0,-4.0
1658,0.0,4.0
1659,0.0,-2.0
1660,-1.0,-2.0
1661,1.4,-2.0
1662,-0.6,-5.0
1663,0.0,7.0
1664,0.0,-2.0
1665,0.4,-2.0
1666,-1.6,-3.0
1667,3.0,5.0
1668,-2.2,4.0
1669,0.4,-3.0
1670,1.4,7.0
1671,0.0,0.0
1672,-2.2,-2.0
1673,0.4,-2.0
1674,-1.6,0.0
1675,0.8,-3.0
1676,0.0,-3.0
1677,0.2,6.0
1678,-0.4,-3.0
1679,2.0,9.0
1680,-2.2,-6.0
1681,0.4,6.0
1682,-0.6,1.0
1683,0.0,1.0
1684,0.8,-2.0
1685,-0.8,1.0
1686,0.0,1.0
1687,-0.6,-4.0
1688,0.0,-4.0
1689,0.0,-3.0
1690,0.0,-4.0
1691,0.0,-5.0
1692,0.0,9.0
1693,0.0,-3.0
1694,0.0,-2.0
1695,0.0,-4.0
1696,0.0,6.0
1697,0.0,-2.0
1698,0.0,-4.0
1699,0.0,-3.0
1700,0.0,3.0
1701,0.0,-3.0
1702,0.0,-5.0
1703,0.0,-4.0
1704,0.0,24.0
1705,0.0,3.0
1706,0.0,2.0
1707,0.0,-26.0
1708,0.4,0.0
1709,-0.6,10.0
1710,0.0,4.0
1711,-1.0,1.0
1712,0.8,-13.0
1713,0.4,0.0
1714,-0.6,7.0
1715,0.0,5.0
1716,0.0,1.0
1717,0.0,-11.0
1718,0.0,0.0
1719,0.0,5.0
1720,0.2,5.0
1721,0.0,1.0
1722,-0.6,-8.0
1723,-0.6,0.0
1724,0.0,3.0
1725,1.2,4.0
1726,-0.8,0.0
1727,-0.6,-7.0
1728,0.0,3.0
1729,0.8,3.0
1730,-0.6,-5.0
1731,0.4,0.0
1732,-1.6,5.0
1733,0.8,-1.0
1734,0.0,-4.0
1735,0.8,17.0
1736,-1.0,-7.0
1737,0.8,5.0
1738,-1.0,-2.0
1739,0.0,3.0
1740,0.0,2.0
1741,-1.0,-7.0
1742,0.8,3.0
1743,0.2,-8.0
1744,-1.0,0.0
1745,0.0,-4.0
1746,0.4,-4.0
1747,0.0,2.0
1748,0.0,-2.0
1749,0.8,-4.0
1750,-1.0,0.0
1751,1.4,-2.0
1752,-1.6,2.0
1753,0.0,10.0
1754,0.0,1.0
1755,0.0,-7.0
1756,-1.0,12.0
1757,0.8,3.0
1758,0.0,3.0
1759,0.0,-5.0
1760,0.0,2.0
1761,0.0,2.0
1762,0.0,1.0
1763,0.0,-3.0
1764,0.0,-1.0
1765,0.0,-1.0
1766,0.8,4.0
1767,-1.0,0.0
1768,-1.0,-4.0
1769,0.8,-2.0
1770,0.2,7.0
1771,0.0,-5.0
1772,-0.6,-5.0
1773,-1.0,-5.0
1774,1.4,-2.0
1775,-0.6,2.0
1776,0.0,6.0
1777,0.0,4.0
1778,0.0,-4.0
1779,0.0,-4.0
1780,0.0,4.0
1781,0.0,4.0
1782,0.0,4.0
1783,0.0,1.0
1784,0.0,-1.0
1785,0.4,0.0
1786,-0.6,1.0
1787,0.0,-3.0
1788,0.0,4.0
1789,-1.0,2.0
1790,0.8,-2.0
1791,0.4,-4.0
1792,-0.6,-3.0
1793,-1.0,-4.0
1794,1.8,7.0
1795,0.0,2.0
1796,-1.0,2.0
1797,0.4,-4.0
1798,-1.0,-3.0
1799,1.4,5.0
1800,0.4,-2.0
1801,0.4,-3.0
1802,-2.0,3.0
1803,0.0,-3.0
1804,3.0,7.0
1805,-3.2,0.0
1806,0.8,-7.0
1807,0.8,7.0
1808,-2.0,-2.0
1809,0.8,-2.0
1810,0.0,-3.0
1811,0.0,7.0
1812,-0.6,3.0
1813,1.4,-8.0
1814,-2.0,-2.0
1815,0.0,3.0
1816,0.4,-3.0
1817,-1.6,-2.0
1818,1.2,-1.0
1819,-1.0,3.0
1820,1.2,-3.0
1821,-0.8,-2.0
1822,0.8,-4.0
1823,-1.0,4.0
1824,0.0,-7.0
1825,2.4,19.0
1826,-2.6,-7.0
1827,0.8,7.0
1828,-0.6,2.0
1829,-1.0,-9.0
1830,3.0,7.0
1831,-2.6,2.0
1832,0.0,-9.0
1833,0.8,7.0
1834,-1.0,2.0
1835,0.0,-2.0
1836,0.8,0.0
1837,-1.0,2.0
1838,0.0,10.0
1839,0.8,2.0
1840,-1.0,-12.0
1841,0.0,-9.0
1842,0.8,7.0
1843,-0.6,2.0
1844,-1.6,-9.0
1845,2.4,7.0
1846,-1.6,2.0
1847,0.0,-9.0
1848,0.8,7.0
1849,-1.0,2.0
1850,-1.0,-9.0
1851,2.2,7.0
1852,-1.4,2.0
1853,-1.0,-9.0
1854,2.2,7.0
1855,-1.4,2.0
1856,-1.0,-9.0
1857,2.2,7.0
1858,-1.4,2.0
1859,0.0,-9.0
1860,0.8,21.0
1861,-1.0,-12.0
1862,-1.0,-9.0
1863,2.2,7.0
1864,-2.0,2.0
1865,0.0,-9.0
1866,1.4,7.0
1867,-1.0,3.0
1868,0.0,1.0
1869,0.8,-3.0
1870,-1.0,2.0
1871,0.0,1.0
1872,0.8,-3.0
1873,-1.0,2.0
1874,0.0,1.0
1875,0.8,-3.0
1876,-1.0,2.0
1877,0.0,1.0
1878,1.2,-3.0
1879,-1.4,2.0
1880,0.2,-7.0
1881,0.0,10.0
1882,-0.6,-3.0
1883,0.0,1.0
1884,0.8,-3.0
1885,-1.0,2.0
1886,0.0,1.0
1887,1.4,-3.0
1888,-1.2,-22.0
1889,-0.6,6.0
1890,1.2,-5.0
1891,-2.4,5.0
1892,0.8,-5.0
1893,0.0,5.0
1894,0.0,4.0
1895,0.0,1.0
1896,0.0,-7.0
1897,0.0,3.0
1898,0.0,4.0
1899,0.0,3.0
1900,0.0,-5.0
1901,-1.0,0.0
1902,0.0,1.0
1903,0.0,-1.0
1904,0.4,12.0
1905,0.0,2.0
1906,0.0,-3.0
1907,1.0,2.0
1908,-1.6,-4.0
1909,0.8,-3.0
1910,0.6,-5.0
1911,-1.4,10.0
1912,0.0,-2.0
1913,0.4,-3.0
1914,1.8,-1.0
1915,0.0,0.0
1916,-2.0,-4.0
1917,0.8,6.0
1918,0.0,1.0
1919,0.8,-3.0
1920,-2.0,3.0
1921,0.0,-3.0
1922,0.0,2.0
1923,0.8,1.0
1924,0.0,2.0
1925,0.0,2.0
1926,-0.6,3.0
1927,1.4,-8.0
1928,-1.2,-2.0
1929,0.0,3.0
1930,0.0,-6.0
1931,-1.0,1.0
1932,2.2,-3.0
1933,-1.4,-4.0
1934,-1.0,-3.0
1935,0.0,5.0
1936,1.6,2.0
1937,0.8,-4.0
1938,-2.0,-1.0
1939,0.8,1.0
1940,0.6,-3.0
1941,-2.4,-2.0
1942,0.0,5.0
1943,-1.0,-1.0
1944,0.8,-4.0
1945,2.4,-1.0
1946,-3.6,0.0
1947,1.2,3.0
1948,0.0,-4.0
1949,-0.6,18.0
1950,0.0,-2.0
1951,0.0,-3.0
1952,5.8,-2.0
1953,0.0,0.0
